"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"23","JD-AxisBk ","JD-AxisBk ","-","-","-","-","-",
"1663326921139",,,"Received","2022-09-16 16:45:21","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1663334512000",,,"Received","2022-09-16 18:51:52","Spent
Card no. XX4345
INR 2761
16-09-22 18:51:50
Avenue E co
Avl Lmt INR 66748.54
SMS BLOCK 4345 to 918691000002, if not you - Axis Bank",,,
"1663335655788",,,"Received","2022-09-16 19:10:55","392576 is SECRET OTP for txn of INR 3905.00 on Axis Bank card XX4345 at AMAZON PAY on 16-09-22 19:10:53. OTP valid for 5 mins. Please do not share this OTP.",,,
"1663336082180",,,"Received","2022-09-16 19:18:02","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1663336291000",,,"Received","2022-09-16 19:21:31","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1663337886000",,,"Received","2022-09-16 19:48:06","427418 is SECRET OTP for txn of INR 1856.00 on Axis Bank card XX4345 at WWW AMAZON on 16-09-22 19:48:05. OTP valid for 5 mins. Please do not share this OTP.",,,
"1663337896000",,,"Received","2022-09-16 19:48:16","Spent
Card no. XX4345
INR 1856
16-09-22 19:48:14
WWW AMAZON
Avl Lmt INR 58578.54
SMS BLOCK 4345 to 918691000002, if not you - Axis Bank",,,
"1663337973056",,,"Received","2022-09-16 19:49:33","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1663339396000",,,"Received","2022-09-16 20:13:16","Spent
Card no. XX4345
INR 629
16-09-22 20:13:13
AMAZON PAY
Avl Lmt INR 57949.54
SMS BLOCK 4345 to 918691000002, if not you - Axis Bank",,,
"1663339469000",,,"Received","2022-09-16 20:14:29","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1663346303261",,,"Received","2022-09-16 22:08:23","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1663348979000",,,"Received","2022-09-16 22:52:59","907741 is SECRET OTP for txn of INR 645.00 on Axis Bank card XX4345 at AMAZON PAY on 16-09-22 22:52:58. OTP valid for 5 mins. Please do not share this OTP.",,,
"1663351678325",,,"Received","2022-09-16 23:37:58","987787 is SECRET OTP for txn of INR 612.00 on Axis Bank card XX4345 at Urban Comp on 16-09-22 23:37:57. OTP valid for 5 mins. Please do not share this OTP.",,,
"1663351935073",,,"Received","2022-09-16 23:42:15","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
