"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"3","VM-ViCARE ","VM-ViCARE ","-","-","-","-","-",
"1669098800482",,,"Received","2022-11-22 12:03:20","NA",,,
"1669100095755",,,"Received","2022-11-22 12:24:55","<#> 2670 is the One Time Password (OTP) for your login to the Vi App. OTP is valid for next 10 minutes. Please do not share with anyone. vefx2VyVu+1",,,
"1669133693934",,,"Received","2022-11-22 21:44:53","Rs99 recharged! Enjoy Rs99 Limited Validity Talktime+All Local/National Calls at 2.5p/sec+200MB Data.Valid for 28Days.No Outgoing SMS.For best offers dial *121#",,,
"1669134294444",,,"Received","2022-11-22 21:54:54","Hello! Talktime Recharge of Rs. 99 on 22/11/22 is successful. Talktime received Rs.83.90. GST charged Rs.15.10, Access Fee Rs.0. Please check your balance.",,,
"1669139046153",,,"Received","2022-11-22 23:14:06","SURPRISE! 2GB FREE Data CREDITED on your Vi no.,valid for 3 Days. Watch Movies, listen to ad-free Music, play Games & much more on Vi App https://bit.ly/3dJLuvG",,,
"1669139405135",,,"Received","2022-11-22 23:20:05","SURPRISE! 2GB FREE Data CREDITED on your Vi no.,valid for 3 Days. Watch Movies, listen to ad-free Music, play Games & much more on Vi App https://bit.ly/3dJLuvG",,,
"1669139707255",,,"Received","2022-11-22 23:25:07","SURPRISE! 2GB FREE Data CREDITED on your Vi no.,valid for 3 Days. Watch Movies, listen to ad-free Music, play Games & much more on Vi App https://bit.ly/3dJLuvG",,,
"1669139708000",,,"Received","2022-11-22 23:25:08","SURPRISE! 2GB FREE Data CREDITED on your Vi no.,valid for 3 Days. Watch Movies, listen to ad-free Music, play Games & much more on Vi App https://bit.ly/3dJLuvG",,,
"1669139823685",,,"Received","2022-11-22 23:27:03","SURPRISE! 2GB FREE Data CREDITED on your Vi no.,valid for 3 Days. Watch Movies, listen to ad-free Music, play Games & much more on Vi App https://bit.ly/3dJLuvG",,,
"1669139883834",,,"Received","2022-11-22 23:28:03","SURPRISE! 2GB FREE Data CREDITED on your Vi no.,valid for 3 Days. Watch Movies, listen to ad-free Music, play Games & much more on Vi App https://bit.ly/3dJLuvG",,,
