ID,Name,Phone Number,Message,Date Time,Received,Sent,Status,Unnamed: 8
950.0,912251000000.0,912251000000.0,-,-,-,-,-,
1687690000000.0,,,Received,25-06-2023 17:12,"Dear Customer, You have a missed call from +912250557269 The last missed call was at 05:12 PM on 25-Jun-2023 Thankyou, Team Jio.",,,
965.0,913371008568.0,913371008568.0,-,-,-,-,-,
1689482437565.0,,,Received,2023-07-16 10:10:37,"Dear Customer, You have a missed call from +913371008568 The last missed call was at 10:10 AM on 16-Jul-2023 Thankyou, Team Jio.",,,
405.0,914071320193.0,914071320193.0,-,-,-,-,-,
1663669999253.0,,,Received,2022-09-20 16:03:19,"Dear Customer, You have a missed call from +914071320193 The last missed call was at 03:54 PM on 20-Sep-2022 Thankyou, Team Jio.",,,
761.0,914071320314.0,914071320314.0,-,-,-,-,-,
1678454254107.0,,,Received,2023-03-10 18:47:34,"Dear Customer, You have a missed call from +914071320314 The last missed call was at 06:45 PM on 10-Mar-2023 Thankyou, Team Jio.",,,
279.0,916382612289.0,916382612289.0,-,-,-,-,-,
1660627747188.0,,,Received,2022-08-16 10:59:07,"Neral-Special Monsoon offer,Book flat for just 1999/- at 0% Down Payment with Fully Furnished flat.1rk & 1BHK starts with 12.50L*  RERA Apprvd.Call:8767039039",,,
265.0,916382613257.0,916382613257.0,-,-,-,-,-,
1660275111793.0,,,Received,2022-08-12 09:01:51,"Maha Offer Month with Mahaavir Pride
Free Modular kitchen worth Rs.50000/-*
3 years NO EMI*
Offer valid only till 15.08.22
1/2&3BHK 46Lakhs Onwards*
9513461077",,,
263.0,917010076908.0,917010076908.0,-,-,-,-,-,
1660272441388.0,,,Received,2022-08-12 08:17:21,"Maha Offer Month with Mahaavir Pride
Free Modular kitchen worth Rs.50000/-*
3 years NO EMI*
Offer valid only till 15.08.22
1/2&3BHK 46Lakhs Onwards*
9513461077",,,
680.0,917010905720.0,917010905720.0,-,-,-,-,-,
1674279451434.0,,,Received,2023-01-21 11:07:31,"MAHINDRA FINANCE ALL TYPE OF L0AN IN 48 HOURS, PERSONAL/BUSINESS/HOME L0AN 3% ANNUALLY RATE OF INTEREST, 40% SUBSIDY.  FOR MORE INFORMATION Ph: 8512084752",,,
855.0,917065888830.0,917065888830.0,-,-,-,-,-,
